,,,,,,,,
,PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,LAST ATTENDED,COUNTRY
,"
Kevin
Knox II",ATL,5,F,6-7,215 lbs,Kentucky,USA
,"
John
Konchar",MEM,46,G,6-5,210 lbs,Indiana-Purdue Fort Wayne,USA
,"
Furkan
Korkmaz",PHI,30,G-F,6-7,202 lbs,Anadolu Efes,Turkey
,"
Luke
Kornet",BOS,40,C-F,7-2,250 lbs,Vanderbilt,USA
,"
Vit
Krejci",OKC,27,G,6-8,195 lbs,Zaragoza,Czech Republic
,"
Arnoldas
Kulboka",CHA,98,F,6-10,209 lbs,Bilbao,Lithuania
,"
Jonathan
Kuminga",GSW,0,F,6-7,225 lbs,NBA G League Ignite,DRC
,"
Kyle
Kuzma",WAS,33,F,6-9,221 lbs,Utah,USA
,"
Zach
LaVine",CHI,8,G-F,6-5,200 lbs,UCLA,USA
,"
Anthony
Lamb",,,F,6-6,227 lbs,Vermont,USA
,"
Jeremy
Lamb",SAC,26,G-F,6-5,180 lbs,Connecticut,USA
,"
Jock
Landale",SAS,34,C,6-11,255 lbs,,Australia
,"
Romeo
Langford",SAS,35,G-F,6-5,216 lbs,Indiana,USA
,"
Jake
Layman",MIN,10,F,6-8,209 lbs,Maryland,USA
,"
Caris
LeVert",CLE,3,G,6-6,205 lbs,Michigan,USA
,"
Damion
Lee",GSW,1,G-F,6-5,210 lbs,Drexel,USA
,"
Saben
Lee",DET,38,G,6-2,183 lbs,Vanderbilt,USA
,"
Alex
Len",SAC,25,C,7-0,250 lbs,Maryland,Ukraine
,"
Kawhi
Leonard",LAC,2,F,6-7,225 lbs,San Diego State,USA
,"
Scottie
Lewis",CHA,16,G,6-5,185 lbs,Florida,USA
,"
Kira
Lewis Jr.",NOP,13,G,6-1,170 lbs,Alabama,USA
,"
Damian
Lillard",POR,0,G,6-2,195 lbs,Weber State,USA
,"
Nassir
Little",POR,9,F-G,6-5,220 lbs,North Carolina,USA
,"
Isaiah
Livers",DET,12,F,6-6,232 lbs,Michigan,USA
,"
Kevon
Looney",GSW,5,F,6-9,222 lbs,UCLA,USA
,"
Brook
Lopez",MIL,11,C,7-0,282 lbs,Stanford,USA
,"
Robin
Lopez",ORL,33,C,7-0,281 lbs,Stanford,USA
,"
Didi
Louzada",POR,35,G,6-5,188 lbs,Sydney Kings,Brazil
,"
Kevin
Love",CLE,0,F-C,6-8,251 lbs,UCLA,USA
,"
Kyle
Lowry",MIA,7,G,6-0,196 lbs,Villanova,USA
,"
Gabriel
Lundberg",PHX,,,,,-,
,"
Timothe
Luwawu-Cabarrot",ATL,7,G-F,6-7,215 lbs,Mega Basket,France
,"
Trey
Lyles",SAC,41,F,6-9,234 lbs,Kentucky,Canada
